"contrast","estimate","SE","df","t.ratio","p.value"
"(E-L) - (N-H)",0.0065030781378260126,0.0018705179987264066,50.2607875065741,3.47661885223976,0.03227536577108625
"(0-S) - (N-H)",0.0061356990913526265,0.0018244522705270646,44.82835975572378,3.3630362331046837,0.04572288566250471
"(E-L) - (C-H)",0.006501906758969772,0.0020411708701301473,61.04859170695287,3.1853809272494678,0.06441461658436098
"(0-S) - (C-H)",0.0061345277124963855,0.00200868465370204,56.79689401660081,3.0540023797116915,0.09073573729979656
"(E-L) - (T-L)",0.005612450662921469,0.001879880509343552,51.45421950346705,2.9855358545534996,0.10895642710831466
"(0-S) - (T-L)",0.005245071616448083,0.0018358689015426763,46.11785553727789,2.8569968215272135,0.14800080298664997
"(E-L) - (E-H)",0.005285254893703057,0.0018806244338418197,52.13085226554427,2.8103723415451505,0.15987481421218652
"(0-S) - (E-H)",0.004917875847229671,0.001838466099444726,47.011808182083804,2.6749885944130396,0.2136074285520343
"(0-P) - (N-H)",0.004703950000269759,0.0017947618644657544,42.37559780230279,2.6209326671145763,0.2397970301708865
"(0-P) - (C-H)",0.004702778621413518,0.001987237457899582,54.85753871016037,2.366490528204987,0.36539144767417187
"(0-P) - (T-L)",0.003813322525365216,0.0018074148901167948,43.705333301741184,2.109821351045083,0.5308064704509263
"(E-L) - (N-L)",0.003865381763046924,0.0018384723568809346,47.40407640226964,2.1024965366380317,0.5349177152574802
"(C-L) - (N-H)",0.003780936543402926,0.0018004312185874091,42.69835326157027,2.100017209415748,0.5374915888168706
"(0-S) - (N-L)",0.0034980027165735375,0.0017872731290079075,41.72883486426739,1.9571730027157261,0.6319016138194107
"(0-P) - (E-H)",0.003486126756146804,0.0018109148418505438,44.67330655065346,1.9250638823990138,0.6527379357506011
"(C-L) - (C-H)",0.003779765164546685,0.0019918352462362635,55.147271372458896,1.8976294207509692,0.6705131047948332
"(E-L) - (T-H)",0.00353688606322642,0.001933540395972586,59.31691938934156,1.8292279130001516,0.7143569198908309
"(0-S) - (T-H)",0.0031695070167530336,0.001898628470121853,54.64694873801397,1.669366633141036,0.8072305842517111
"(C-L) - (T-L)",0.0028903090684983825,0.0018129385748449117,44.02674208487256,1.5942675105501767,0.8437286645397037
"(N-H) - (T-H)",-0.002966192074599593,0.0019092859855393974,55.53470119744041,-1.5535609107619393,0.8639163464040687
"(C-L) - (E-L)",-0.002722141594423087,0.0018384723568809348,47.40407640226964,-1.480654079042746,0.893040635442552
"(N-L) - (N-H)",0.002637696374779089,0.001800431218587409,42.69835326157027,1.4650359022593407,0.8982023027002138
"(C-H) - (T-H)",-0.002965020695743352,0.002071064845623204,65.47273247203873,-1.4316406857126427,0.9125927183393219
"(C-L) - (E-H)",0.0025631132992799707,0.0018164309321010773,45.00026480346208,1.4110711582714577,0.9173442837538723
"(N-L) - (C-H)",0.002636524995922848,0.0019918352462362635,55.14727137245909,1.3236662022648604,0.9437155438700296
"(0-S) - (C-L)",0.0023547625479497006,0.0017872731290079075,41.72883486426739,1.317516897519071,0.9438185360704567
"(0-P) - (N-L)",0.00206625362549067,0.001754462962765513,39.179996843864586,1.1777128781525772,0.9716128115648052
"(T-L) - (T-H)",-0.0020755645996950495,0.001917373801178727,56.66739317653572,-1.08250389069626,0.9845467667061055
"(0-P) - (E-L)",-0.0017991281375562538,0.0018331563874454105,47.07780255435538,-0.981437344832005,0.9920064547774807
"(N-L) - (T-L)",0.0017470688998745456,0.0018129385748449117,44.02674208487256,0.9636669019655004,0.9929062983702981
"(0-P) - (T-H)",0.0017377579256701663,0.0018755262737726603,52.509958247777554,0.9265441652142947,0.9948279496112808
"(E-H) - (T-H)",-0.0017483688304766377,0.0019173059275816215,57.24221197552974,-0.911888293529624,0.9954644383519984
"(0-S) - (0-P)",0.0014317490910828673,0.0017814934348068352,41.404896670721804,0.8036791284825082,0.9981440734309204
"(N-L) - (E-H)",0.0014198731306561338,0.001816430932101077,45.00026480346208,0.7816829726708946,0.9985299935392067
"(E-H) - (N-H)",0.0012178232441229552,0.001850332715294736,47.939769479611726,0.6581644663451623,0.999631005251689
"(C-L) - (N-L)",0.001143240168623837,0.0017605132803084724,39.50418874057609,0.6493788950138004,0.9996526811253275
"(C-H) - (E-H)",-0.0012166518652667142,0.0020260228778923614,59.161071354042804,-0.6005124021760195,0.9998336874503104
"(0-P) - (C-L)",9.230134568668333e-4,0.001754462962765513,39.179996843864586,0.5260945807667048,0.9999389828575144
"(T-L) - (N-H)",8.906274749045434e-4,0.0018478864831923969,47.057820845023,0.48197088024904056,0.9999723907627471
"(T-L) - (C-H)",8.894560960483024e-4,0.0020261323805639627,58.6343064396229,0.43899209379434884,0.9999882342669432
"(C-L) - (T-H)",8.14744468803333e-4,0.0018804638985751674,52.8307612919157,0.4332678066410459,0.9999892344241569
"(0-S) - (E-L)",-3.6737904647338637e-4,0.0018590829995742337,49.34651260010267,-0.19761304178324654,0.9999999890647582
"(T-L) - (E-H)",-3.271957692184118e-4,0.0018604316169834188,49.16639055726777,-0.17587089266357483,0.9999999961325927
"(N-L) - (T-H)",-3.284956998205039e-4,0.0018804638985751672,52.8307612919157,-0.17468865000248396,0.9999999964301161
"(C-H) - (N-H)",1.1713788562409816e-6,0.002018657868411746,57.60386275735201,5.802760708344339e-4,1
